EmployeeID,Name,Age,Gender,Location,Department,Designation,YearsAtTCS,PerformanceRating,AI_Training_Level,SkillsMatch,OnsiteExperience,Certifications,CurrentProject,BillableDays,BenchDays,PreviousBenchInstances,UpSkilledLastYear,WillingToReskill,RedeploymentAttempts,LastPromotionYearsAgo,SalaryUSD,ManagerFeedbackScore,LayoffFlag,LayoffReason,DateOfRecord
TCS00000,Employee_0,37,Male,USA,HR,Junior,3.0,High,Basic,Match,No,5,Yes,246,7,0,Yes,Yes,0,1,10000,3.89,0,N/A,2025-07-30
TCS00001,Employee_1,48,Male,UK,IT,Junior,9.7,High,Advanced,Match,No,1,Yes,248,11,0,No,Yes,0,2,24669,4.49,0,N/A,2025-07-30
TCS00002,Employee_2,40,Female,India,Sales,Manager,3.7,Medium,Basic,Match,No,1,Yes,232,20,0,Yes,Yes,1,3,18335,4.41,0,N/A,2025-07-30
TCS00003,Employee_3,36,Male,UK,Finance,Mid,11.6,Medium,Advanced,Mismatch,No,5,No,241,10,1,Yes,Yes,2,2,21535,3.15,0,N/A,2025-07-30
TCS00004,Employee_4,54,Male,India,IT,Senior,11.3,Medium,Basic,Match,Yes,0,Yes,244,11,1,No,No,0,2,23560,2.92,0,N/A,2025-07-30
TCS00005,Employee_5,53,Female,India,IT,Lead,5.5,Low,Basic,Match,No,2,Yes,242,11,0,No,Yes,1,2,27149,4.15,0,N/A,2025-07-30
TCS00006,Employee_6,48,Male,India,Sales,Junior,1.9,High,Basic,Match,No,5,No,229,23,0,Yes,No,2,0,30093,2.1,0,N/A,2025-07-30
TCS00007,Employee_7,36,Female,USA,Finance,Junior,8.8,Medium,None,Mismatch,No,5,Yes,238,20,2,No,Yes,3,1,28643,3.33,0,N/A,2025-07-30
TCS00008,Employee_8,46,Female,India,IT,Mid,7.6,Medium,None,Mismatch,Yes,1,Yes,241,11,0,Yes,Yes,0,1,22693,4.82,0,N/A,2025-07-30
TCS00009,Employee_9,55,Female,India,IT,Junior,4.9,Medium,Basic,Match,No,2,No,237,18,2,Yes,Yes,1,1,17128,3.68,0,N/A,2025-07-30
TCS00010,Employee_10,53,Female,USA,HR,Junior,5.1,Medium,Basic,Match,No,6,Yes,237,16,0,No,No,1,2,23856,3.79,0,N/A,2025-07-30
TCS00011,Employee_11,29,Female,India,Consulting,Lead,9.3,High,Basic,Match,No,6,Yes,246,8,0,Yes,Yes,1,2,18302,4.49,1,Redeployment Failure,2025-07-30
TCS00012,Employee_12,31,Female,UK,Sales,Junior,5.9,Medium,None,Mismatch,No,3,No,252,8,0,No,Yes,3,2,24917,4.34,0,N/A,2025-07-30
TCS00013,Employee_13,36,Female,India,IT,Junior,9.4,Low,Basic,Mismatch,No,7,Yes,255,0,0,No,Yes,3,1,17770,3.33,0,N/A,2025-07-30
TCS00014,Employee_14,47,Male,India,Consulting,Mid,5.0,Low,None,Match,No,2,No,258,0,0,No,Yes,2,2,28607,2.92,0,N/A,2025-07-30
TCS00015,Employee_15,46,Female,India,IT,Senior,7.1,Medium,None,Match,Yes,1,Yes,238,18,1,No,Yes,1,1,43399,3.3,0,N/A,2025-07-30
TCS00016,Employee_16,52,Female,India,Consulting,Junior,4.6,Medium,None,Match,No,6,Yes,230,29,2,No,Yes,1,1,36345,3.27,0,N/A,2025-07-30
TCS00017,Employee_17,34,Male,UK,IT,Mid,10.3,Medium,None,Match,Yes,0,Yes,244,14,0,Yes,No,0,0,31223,2.4,0,N/A,2025-07-30
TCS00018,Employee_18,28,Male,India,Consulting,Junior,15.0,Medium,Basic,Mismatch,No,6,Yes,246,7,1,No,No,1,3,10000,4.57,0,N/A,2025-07-30
TCS00019,Employee_19,55,Male,USA,IT,Senior,6.2,Medium,Advanced,Match,No,4,Yes,244,11,2,Yes,Yes,0,1,23976,4.22,0,N/A,2025-07-30
TCS00020,Employee_20,39,Female,India,IT,Mid,3.9,Medium,None,Mismatch,No,6,Yes,245,11,2,No,Yes,2,2,10000,4.46,0,N/A,2025-07-30
TCS00021,Employee_21,23,Female,Canada,HR,Mid,6.9,Medium,None,Match,No,6,Yes,258,0,0,Yes,Yes,1,0,29204,4.19,0,N/A,2025-07-30
TCS00022,Employee_22,59,Female,India,IT,Senior,8.5,Low,Basic,Match,No,2,Yes,239,16,3,No,Yes,1,1,21605,4.23,0,N/A,2025-07-30
TCS00023,Employee_23,33,Male,India,IT,Lead,3.1,Medium,Basic,Mismatch,No,6,Yes,239,13,1,Yes,Yes,0,1,27249,2.94,0,N/A,2025-07-30
